motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,motor_7,motor_8,motor_9,motor_10,direction,depth_image,label
-0.4714,0.1234,0.6978,-0.1744,-0.4949,0.11816,-0.01294,0.01091,0.5127,-0.1333,rectilinear_backward,depth_image_218366.jpg,0
0.00579,-0.1857,0.007195,-0.3057,-0.001511,0.03152,0.00585,0.399,0.05023,0.004562,straight,depth_image_123559.jpg,4
-0.4075,0.1234,0.6914,0.00364,-0.5493,-0.1284,0.06946,0.1742,0.4534,-0.11273,rectilinear_forward,depth_image_143288.jpg,1
0.333,0.1234,0.2123,-0.1744,-0.627,0.11816,0.656,0.01091,-0.2808,-0.1333,rectilinear_backward,depth_image_8148.jpg,0
0.145,-0.509,-0.1805,-0.4421,-0.2247,0.3135,0.0815,0.5806,0.2607,-0.05734,sidewinding_left,depth_image_178594.jpg,2
0.119,0.544,-0.2012,0.3909,-0.2078,-0.3716,0.1095,-0.5547,0.256,0.1268,sidewinding_right,depth_image_107547.jpg,3
0.589,0.1234,-0.1366,-0.1744,-0.3997,0.11816,0.69,0.01091,-0.555,-0.1333,rectilinear_backward,depth_image_217532.jpg,0
-0.242,-0.2336,-0.151,0.499,0.1753,0.4539,0.2284,-0.2988,-0.0745,-0.5854,sidewinding_left,depth_image_216271.jpg,2
0.503,0.1234,0.001616,-0.1744,-0.505,0.11816,0.6973,0.01091,-0.4607,-0.1333,rectilinear_backward,depth_image_218567.jpg,0
0.694,0.1234,-0.535,0.00364,0.04688,-0.1284,0.4702,0.1742,-0.6978,-0.11273,rectilinear_forward,depth_image_114645.jpg,1
0.6084,0.1234,-0.6685,0.00364,0.317,-0.1284,0.2296,0.1742,-0.635,-0.11273,rectilinear_forward,depth_image_73608.jpg,1
0.05655,0.1234,0.4631,-0.1744,-0.6978,0.11816,0.503,0.01091,0.001616,-0.1333,rectilinear_backward,depth_image_214348.jpg,0
-0.698,0.1234,0.4753,-0.1744,0.0399,0.11816,-0.531,0.01091,0.695,-0.1333,rectilinear_backward,depth_image_217923.jpg,0
-0.07666,-0.584,0.2273,-0.3035,0.1769,0.4502,-0.1492,0.502,-0.2428,-0.2288,sidewinding_right,depth_image_184963.jpg,3
-0.481,-0.004562,0.5386,-0.1243,-0.1863,-0.04303,-0.1046,0.3022,0.507,0.01522,sidewinding_right,depth_image_71098.jpg,3
-0.2114,0.3691,0.4097,0.2698,-0.3203,-0.11774,-0.001999,-0.0922,0.1326,-0.1447,sidewinding_left,depth_image_195989.jpg,2
0.0156,-0.61,0.2583,-0.099,0.0984,0.566,-0.215,0.3486,-0.1932,-0.4124,sidewinding_right,depth_image_239525.jpg,3
0.05655,0.1234,-0.5415,0.00364,0.693,-0.1284,-0.418,0.1742,-0.1143,-0.11273,rectilinear_forward,depth_image_153566.jpg,1
0.1921,-0.4104,-0.1608,0.3665,-0.0829,0.4055,-0.2472,-0.1029,-0.01633,-0.6055,sidewinding_right,depth_image_67248.jpg,3
-0.1945,0.4092,-0.2139,-0.3523,0.1001,-0.5645,0.258,0.1033,0.01376,0.61,sidewinding_right,depth_image_64966.jpg,3
0.1509,-0.4993,-0.1754,-0.4534,-0.2283,0.2993,0.0747,0.5854,0.2612,-0.04092,sidewinding_left,depth_image_178922.jpg,2
0.2428,0.1234,0.3042,-0.1744,-0.664,0.11816,0.615,0.01091,-0.1875,-0.1333,rectilinear_backward,depth_image_8036.jpg,0
-0.6924,0.1234,0.543,-0.1744,-0.05923,0.11816,-0.461,0.01091,0.6973,-0.1333,rectilinear_backward,depth_image_214605.jpg,0
0.507,0.1234,-0.6973,-0.1744,0.4585,0.11816,0.06247,0.01091,-0.545,-0.1333,rectilinear_backward,depth_image_214307.jpg,0
